PM10
"12:30 19/02;""13:30 19/02"";""56"""
"13:30 19/02;""14:30 19/02"";""63"""
"14:30 19/02;""15:30 19/02"";""65"""
"15:30 19/02;""16:30 19/02"";""62"""
"16:30 19/02;""17:30 19/02"";""64"""
"17:30 19/02;""18:30 19/02"";""65"""
"18:30 19/02;""19:30 19/02"";""67"""
"19:30 19/02;""20:30 19/02"";""73"""
"20:30 19/02;""21:30 19/02"";""83"""
"21:30 19/02;""22:30 19/02"";""76"""
"22:30 19/02;""23:30 19/02"";""61"""
"23:30 19/02;""00:30 20/02"";""52"""
"00:30 20/02;""01:30 20/02"";""49"""
"01:30 20/02;""02:30 20/02"";""50"""
"02:30 20/02;""03:30 20/02"";""47"""
"03:30 20/02;""04:30 20/02"";""49"""
"04:30 20/02;""05:30 20/02"";""48"""
"05:30 20/02;""06:30 20/02"";""51"""
"06:30 20/02;""07:30 20/02"";""52"""
"07:30 20/02;""08:30 20/02"";""52"""
"08:30 20/02;""09:30 20/02"";""54"""
"09:30 20/02;""10:30 20/02"";""52"""
"10:30 20/02;""11:30 20/02"";""52"""
"11:30 20/02;""12:30 20/02"";""44"""
"12:30 20/02;""13:30 20/02"";""45"""
"13:30 20/02;""14:30 20/02"";""34"""
"14:30 20/02;""15:30 20/02"";""27"""
"15:30 20/02;""16:30 20/02"";""26"""
"16:30 20/02;""17:30 20/02"";""33"""
"17:30 20/02;""18:30 20/02"";""38"""
"18:30 20/02;""19:30 20/02"";""31"""
"19:30 20/02;""20:30 20/02"";""28"""
"20:30 20/02;""21:30 20/02"";""36"""
"21:30 20/02;""22:30 20/02"";""54"""
"22:30 20/02;""23:30 20/02"";""67"""
"23:30 20/02;""00:30 21/02"";""73"""
"00:30 21/02;""01:30 21/02"";""66"""
"01:30 21/02;""02:30 21/02"";""68"""
"02:30 21/02;""03:30 21/02"";""60"""
"03:30 21/02;""04:30 21/02"";""56"""
"04:30 21/02;""05:30 21/02"";""57"""
"05:30 21/02;""06:30 21/02"";""63"""
"06:30 21/02;""07:30 21/02"";""56"""
"07:30 21/02;""08:30 21/02"";""54"""
"08:30 21/02;""09:30 21/02"";""53"""
"09:30 21/02;""10:30 21/02"";""52"""
"10:30 21/02;""11:30 21/02"";""54"""
"11:30 21/02;""12:30 21/02"";""57"""
"12:30 21/02;""13:30 21/02"";""59"""
"13:30 21/02;""14:30 21/02"";""56"""
"14:30 21/02;""15:30 21/02"";""52"""
"15:30 21/02;""16:30 21/02"";""49"""
"16:30 21/02;""17:30 21/02"";""45"""
"17:30 21/02;""18:30 21/02"";""42"""
"18:30 21/02;""19:30 21/02"";""40"""
"19:30 21/02;""20:30 21/02"";""34"""
"20:30 21/02;""21:30 21/02"";""36"""
"21:30 21/02;""22:30 21/02"";""43"""
"22:30 21/02;""23:30 21/02"";""49"""
"23:30 21/02;""00:30 22/02"";""55"""
"00:30 22/02;""01:30 22/02"";""63"""
"01:30 22/02;""02:30 22/02"";""66"""
"02:30 22/02;""03:30 22/02"";""57"""
"03:30 22/02;""04:30 22/02"";""65"""
"04:30 22/02;""05:30 22/02"";""70"""
"05:30 22/02;""06:30 22/02"";""63"""
"06:30 22/02;""07:30 22/02"";""64"""
"07:30 22/02;""08:30 22/02"";""61"""
"08:30 22/02;""09:30 22/02"";""59"""
"09:30 22/02;""10:30 22/02"";""58"""
"10:30 22/02;""11:30 22/02"";""67"""
"11:30 22/02;""12:30 22/02"";""68"""
"12:30 22/02;""13:30 22/02"";""67"""
"13:30 22/02;""14:30 22/02"";""59"""
"14:30 22/02;""15:30 22/02"";""54"""
"15:30 22/02;""16:30 22/02"";""47"""
"16:30 22/02;""17:30 22/02"";""40"""
"17:30 22/02;""18:30 22/02"";""35"""
"18:30 22/02;""19:30 22/02"";""34"""
"19:30 22/02;""20:30 22/02"";""35"""
"20:30 22/02;""21:30 22/02"";""41"""
"21:30 22/02;""22:30 22/02"";""49"""
"22:30 22/02;""23:30 22/02"";""58"""
"23:30 22/02;""00:30 23/02"";""82"""
"00:30 23/02;""01:30 23/02"";""179"""
"01:30 23/02;""02:30 23/02"";""236"""
"02:30 23/02;""03:30 23/02"";""249"""
"03:30 23/02;""04:30 23/02"";""262"""
"04:30 23/02;""05:30 23/02"";""281"""
"05:30 23/02;""06:30 23/02"";""273"""
"06:30 23/02;""07:30 23/02"";""273"""
"07:30 23/02;""08:30 23/02"";""261"""
"08:30 23/02;""09:30 23/02"";""244"""
"09:30 23/02;""10:30 23/02"";""230"""
"10:30 23/02;""11:30 23/02"";""211"""
"11:30 23/02;""12:30 23/02"";""177"""
"12:30 23/02;""13:30 23/02"";""112"""
"13:30 23/02;""14:30 23/02"";""102"""
"14:30 23/02;""15:30 23/02"";""93"""
"15:30 23/02;""16:30 23/02"";""86"""
"16:30 23/02;""17:30 23/02"";""77"""
"17:30 23/02;""18:30 23/02"";""67"""
"18:30 23/02;""19:30 23/02"";""55"""
"19:30 23/02;""20:30 23/02"";""43"""
"20:30 23/02;""21:30 23/02"";""50"""
"21:30 23/02;""22:30 23/02"";""57"""
"22:30 23/02;""23:30 23/02"";""65"""
"23:30 23/02;""00:30 24/02"";""75"""
"00:30 24/02;""01:30 24/02"";""66"""
"01:30 24/02;""02:30 24/02"";""65"""
"02:30 24/02;""03:30 24/02"";""88"""
"03:30 24/02;""04:30 24/02"";""98"""
"04:30 24/02;""05:30 24/02"";""88"""
"05:30 24/02;""06:30 24/02"";""80"""
"06:30 24/02;""07:30 24/02"";""73"""
"07:30 24/02;""08:30 24/02"";""72"""
"08:30 24/02;""09:30 24/02"";""70"""
"09:30 24/02;""10:30 24/02"";""70"""
"10:30 24/02;""11:30 24/02"";""75"""
"11:30 24/02;""12:30 24/02"";""64"""
"12:30 24/02;""13:30 24/02"";""62"""
"13:30 24/02;""14:30 24/02"";""56"""
"14:30 24/02;""15:30 24/02"";""51"""
"15:30 24/02;""16:30 24/02"";""46"""
"16:30 24/02;""17:30 24/02"";""39"""
"17:30 24/02;""18:30 24/02"";""29"""
"18:30 24/02;""19:30 24/02"";""23"""
"19:30 24/02;""20:30 24/02"";""28"""
"20:30 24/02;""21:30 24/02"";""33"""
"21:30 24/02;""22:30 24/02"";""36"""
"22:30 24/02;""23:30 24/02"";""41"""
"23:30 24/02;""00:30 25/02"";""50"""
"00:30 25/02;""01:30 25/02"";""55"""
"01:30 25/02;""02:30 25/02"";""58"""
"02:30 25/02;""03:30 25/02"";""63"""
"03:30 25/02;""04:30 25/02"";""69"""
"04:30 25/02;""05:30 25/02"";""71"""
"05:30 25/02;""06:30 25/02"";""72"""
"06:30 25/02;""07:30 25/02"";""98"""
"07:30 25/02;""08:30 25/02"";""126"""
"08:30 25/02;""09:30 25/02"";""128"""
"09:30 25/02;""10:30 25/02"";""120"""
